City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,tolyatti,53.5303,49.3461,266.69,96,100,2.8,RU,1675914186
177,naze,28.3667,129.4833,290.66,69,100,7.75,JP,1675914268
178,south yuba city,39.1166,-121.6391,285.75,72,0,2.06,US,1675914392
179,duku,11.2361,4.9073,296.88,16,70,3.51,NG,1675914393
180,mnogovershinnyy,53.9353,139.9242,247.64,73,24,2.14,RU,1675914393
181,nelson bay,-32.7167,152.15,297.65,74,100,8.49,AU,1675914394
182,luderitz,-26.6481,15.1594,290.12,96,67,4.5,NA,1675914395
183,kathu,7.9178,98.3332,303.05,69,92,6.33,TH,1675914396
184,sabang,5.8933,95.3214,300.84,74,76,6.06,ID,1675914398
185,tolaga bay,-38.3667,178.3,292.02,71,16,3.55,NZ,1675914400
186,hasaki,35.7333,140.8333,284.42,37,8,7.94,JP,1675914401
187,fortuna,40.5982,-124.1573,280.34,94,0,0.0,US,1675914402
188,sibu,2.3,111.8167,301.32,78,20,0.51,MY,1675914402
189,santa ana,33.7456,-117.8678,291.1,51,0,0.0,US,1675914155
190,heihe,50.2441,127.4902,261.47,90,51,3.56,CN,1675914403
191,verkhnevilyuysk,63.4453,120.3167,235.54,95,79,1.14,RU,1675914144
192,otane,-39.8833,176.6333,292.6,65,42,5.72,NZ,1675914404
193,kudat,6.8837,116.8477,301.11,78,40,2.57,MY,1675914404
194,honningsvag,70.9821,25.9704,274.01,86,100,10.8,NO,1675914405
195,high level,58.5169,-117.136,256.21,92,0,1.03,CA,1675914405
196,uyuni,-20.4597,-66.825,283.92,68,90,2.71,BO,1675914406
197,road town,18.4167,-64.6167,298.2,74,1,10.92,VG,1675914406
198,provideniya,64.3833,-173.3,252.21,65,100,5.0,RU,1675914406
199,landau,49.2075,8.1133,271.83,79,0,0.6,DE,1675914407
200,mount gambier,-37.8333,140.7667,299.3,35,0,3.58,AU,1675914408
201,korla,41.7597,86.1469,272.34,58,49,2.65,CN,1675914408
202,cotonou,6.3654,2.4183,301.14,83,40,4.12,BJ,1675914409
203,tuatapere,-46.1333,167.6833,287.11,57,79,4.99,NZ,1675914410
204,pierre,44.3683,-100.351,277.66,70,100,7.72,US,1675914262
205,ferme-neuve,46.7001,-75.4493,263.89,99,92,0.92,CA,1675914411
206,waconia,44.8508,-93.7869,273.91,84,55,2.76,US,1675914411
207,kattivakkam,13.2167,80.3167,299.2,66,91,0.68,IN,1675914411
208,conceicao do araguaia,-8.2578,-49.2647,295.73,95,40,1.37,BR,1675914412
209,soyo,-6.1349,12.3689,298.69,85,56,4.01,AO,1675914412
210,smithers,54.7804,-127.1743,274.33,75,100,2.57,CA,1675914413
211,clarence town,-32.5833,151.7833,298.6,63,100,2.77,AU,1675914413
212,korhogo,9.45,-5.6333,296.95,75,100,0.74,CI,1675914413
213,sao filipe,14.8961,-24.4956,293.75,75,58,3.17,CV,1675914414
214,hithadhoo,-0.6,73.0833,300.69,72,77,4.35,MV,1675914154
215,solaro,44.8799,9.1732,272.38,71,27,3.13,IT,1675914415
216,mednogorskiy,43.9178,41.1825,262.62,91,51,1.67,RU,1675914415
217,konstantinovka,49.6167,127.9833,260.16,84,41,3.05,RU,1675914416
218,faanui,-16.4833,-151.75,300.53,71,9,3.15,PF,1675914416
219,chuy,-33.6971,-53.4616,294.71,93,32,3.22,UY,1675914416
220,zhaotong,27.3167,103.7167,280.66,58,100,0.89,CN,1675914417
221,lompoc,34.6391,-120.4579,286.26,81,0,4.12,US,1675914417
222,termiz,37.2242,67.2783,281.2,87,75,2.06,UZ,1675914418
223,polyarnyy,69.1989,33.4478,274.52,80,100,15.9,RU,1675914418
224,baherden,38.4362,57.4316,277.54,88,100,4.17,TM,1675914419
225,longyearbyen,78.2186,15.6401,267.06,79,100,6.69,SJ,1675914419
226,arifwala,30.294,73.0735,291.66,22,76,3.35,PK,1675914420
